Split Method,Protocol,Model,Common Condition,State Precision,State Recall,State F1,Exact Transition Precision,Exact Transition Recall,Exact Transition F1,Partial Transition Precision,Partial Transition Recall,Partial Transition F1
Fixed Token Splitting,DCCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,No,0.529,1.0,0.692,0.184,0.28,0.222,0.263,0.4,0.317
Fixed Token Splitting,DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.429,0.75,0.545,0.316,0.316,0.316,0.368,0.368,0.368
Fixed Token Splitting,DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.5,0.75,0.6,0.297,0.579,0.393,0.27,0.526,0.357
Fixed Token Splitting,DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.727,1.0,0.842,0.5,0.526,0.513,0.55,0.579,0.564
Fixed Token Splitting,DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.875,0.875,0.875,0.632,0.632,0.632,0.579,0.579,0.579
Fixed Token Splitting,DHCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,0.833,0.625,0.714,0.333,0.053,0.091,0.333,0.053,0.091
Fixed Token Splitting,DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,1.0,0.875,0.933,0.292,0.368,0.326,0.25,0.316,0.279
Fixed Token Splitting,DHCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,1.0,0.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,DHCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,No,1.0,0.625,0.769,0.636,0.368,0.467,0.727,0.421,0.533
Fixed Token Splitting,FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.571,0.4,0.471,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,FTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.273,0.6,0.375,0.008,0.042,0.013,0.008,0.042,0.013
Fixed Token Splitting,FTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.125,0.2,0.154,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,FTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.333,0.6,0.429,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,FTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,0.273,0.3,0.286,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,FTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,FTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.5,0.1,0.167,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,FTP,qwq_32b_qwq_reasoning_ollama_json_schema_output,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,IMAP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.25,1.0,0.4,0.176,0.273,0.214,0.176,0.273,0.214
Fixed Token Splitting,IMAP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.278,1.0,0.435,0.029,0.182,0.051,0.059,0.364,0.101
Fixed Token Splitting,IMAP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.238,1.0,0.385,0.12,0.545,0.197,0.12,0.545,0.197
Fixed Token Splitting,IMAP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.417,1.0,0.588,0.364,0.727,0.485,0.318,0.636,0.424
Fixed Token Splitting,IMAP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,0.833,1.0,0.909,0.667,0.545,0.6,0.667,0.545,0.6
Fixed Token Splitting,IMAP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,0.571,0.8,0.667,0.172,0.455,0.25,0.172,0.455,0.25
Fixed Token Splitting,IMAP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.8,0.8,0.8,0.375,0.545,0.444,0.375,0.545,0.444
Fixed Token Splitting,IMAP,qwq_32b_qwq_reasoning_ollama_json_schema_output,No,0.444,0.8,0.571,0.163,0.636,0.259,0.163,0.636,0.259
Fixed Token Splitting,MQTT,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,0.333,0.5,0.2,0.059,0.091,0.2,0.059,0.091
Fixed Token Splitting,MQTT,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.4,0.5,0.444,0.136,0.176,0.154,0.182,0.235,0.205
Fixed Token Splitting,MQTT,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.429,1.0,0.6,0.029,0.059,0.038,0.114,0.235,0.154
Fixed Token Splitting,MQTT,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.6,0.25,0.353,0.143,0.059,0.083,0.143,0.059,0.083
Fixed Token Splitting,MQTT,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,0.875,0.583,0.7,0.2,0.118,0.148,0.1,0.059,0.074
Fixed Token Splitting,MQTT,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,0.75,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,MQTT,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,MQTT,qwq_32b_qwq_reasoning_ollama_json_schema_output,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,NNTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.267,0.4,0.32,0.056,0.062,0.059,0.111,0.125,0.118
Fixed Token Splitting,NNTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.348,0.8,0.485,0.0,0.0,0.0,0.046,0.188,0.074
Fixed Token Splitting,NNTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.5,0.8,0.615,0.036,0.125,0.056,0.018,0.062,0.028
Fixed Token Splitting,NNTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.308,0.4,0.348,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,NNTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,NNTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,0.6,0.3,0.4,0.071,0.062,0.067,0.0,0.0,0.0
Fixed Token Splitting,NNTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.286,0.2,0.235,0.0,0.0,0.0,0.111,0.062,0.08
Fixed Token Splitting,NNTP,qwq_32b_qwq_reasoning_ollama_json_schema_output,No,1.0,0.2,0.333,0.0,0.0,0.0,0.2,0.062,0.095
Fixed Token Splitting,POP3,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.0,0.0,0.0,0.6,0.167,0.261
Fixed Token Splitting,POP3,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.294,0.278,0.286,0.529,0.5,0.514
Fixed Token Splitting,POP3,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.333,0.167,0.222,0.444,0.222,0.296
